Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,14.82,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.58,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,9.91,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Msasani, Kinondoni, Dar es Salaam, Tanzania",,7.74,DFP8546
"Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,0.73,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Ali Hassan Mwinyi Road, Kinondoni, Dar es Salaam, Tanzania",,3.77,DFP8546
"Ali Hassan Mwinyi Road, Kinondoni, Dar es Salaam, Tanzania",,"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,3.29,DFP8546
"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,"Engaruka Street, Kurasini, Temeke, Dar es Salaam, Tanzania",,10.88,DFP8546
"Engaruka Street, Kurasini, Temeke, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,14.5,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,5.34,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Warehouse,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",Golden Hight's -,5.42,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",Golden Hight's -  Sanku HQ,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,21.68,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.6,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",,13.14,DFP8546
"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,33.53,DFP8546
