Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Bunju, Kinondoni, Dar es Salaam, Tanzania",Kagusa Milling,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,20.8,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Old Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,16.5,MC473DKX
"Old Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,2.8,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,6.7,MC473DKX
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,7.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,6.5,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Safari,4.7,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Safari,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,4.8,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,5.2,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,"Charambe, Temeke, Dar es Salaam, Tanzania",,18.0,MC473DKX
"Charambe, Temeke, Dar es Salaam, Tanzania",,"Kinondoni, Dar es Salaam, Tanzania",,17.0,MC473DKX
"Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,11.8,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,33.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,17.3,MC473DKX
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,17.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,5.1,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,5.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bagamoyo Road, Bunju, Kinondoni, Dar es Salaam, Tanzania",Rfarms General S,18.5,MC473DKX
"Bagamoyo Road, Bunju, Kinondoni, Dar es Salaam, Tanzania",Rfarms General Suppliers,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,18.4,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,1.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,16.9,MC473DKX
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,16.9,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,2.4,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,2.5,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,47.9,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,2.4,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Pugu Road, Kipawa, Ilala, Dar es Salaam, Tanzania",Maji Moto Milling,16.8,MC473DKX
"Pugu Road, Kipawa, Ilala, Dar es Salaam, Tanzania",Maji Moto Milling,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,25.4,MC473DKX
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Tandale, Kinondoni, Dar es Salaam, Tanzania",,2.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"India Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,9.5,MC473DKX
"Algeria Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,"Aggrey Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,0.1,MC473DKX
"Aggrey Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,"Aggrey Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Aggrey Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,9.6,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,1.4,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,1.5,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,9.2,MC473DKX
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,1.1,MC473DKX
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,8.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chanika, Ilala, Dar es Salaam, Tanzania",Muya Grain Miller,43.0,MC473DKX
"Chanika, Ilala, Dar es Salaam, Tanzania",Muya Grain Millers,"Chanika, Ilala, Dar es Salaam, Tanzania",Muya Grain Miller,0.0,MC473DKX
"Chanika, Ilala, Dar es Salaam, Tanzania",Muya Grain Millers,"Pugu Road, Pugu, Ilala, Dar es Salaam, Tanzania",,15.8,MC473DKX
"Pugu Road, Pugu, Ilala, Dar es Salaam, Tanzania",,"Uhuru Street, Buguruni, Ilala, Dar es Salaam, Tanzania",,14.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,24.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,3.4,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,2.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",H.R.M MILLING,17.9,MC473DKX
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",H.R.M MILLING,"Azimio, Temeke, Dar es Salaam, Tanzania",Naima Mills,3.1,MC473DKX
"Azimio, Temeke, Dar es Salaam, Tanzania",Naima Mills,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,14.3,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,3.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,2.4,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,44.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",Kibaigwa Grain M,15.6,MC473DKX
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",Kibaigwa Grain Millers,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,11.9,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,15.7,MC473DKX
"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",LAJ MILLING,13.8,MC473DKX
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",LAJ MILLING,"Goba, Kinondoni, Dar es Salaam, Tanzania",,18.2,MC473DKX
"Goba, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,15.6,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",Mzawa Gen. Sup,34.3,MC473DKX
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",Mzawa Gen. Supply,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,19.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,2.3,MC473DKX
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,2.4,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Sandali, Temeke, Dar es Salaam, Tanzania",Yes Boss Millers,16.4,MC473DKX
"Sandali, Temeke, Dar es Salaam, Tanzania",Yes Boss Millers,"Tambani, Mkuranga, Pwani, Tanzania",Lugome 2,30.8,MC473DKX
"Tambani, Mkuranga, Pwani, Tanzania",Lugome 2,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,40.5,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",LK,4.9,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",LK,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,24.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,5.2,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Isanga,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,8.4,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Kimara, Kinondoni, Dar es Salaam, Tanzania",Amani Supplies,24.4,MC473DKX
"Kimara, Kinondoni, Dar es Salaam, Tanzania",Amani Supplies,"Kimara, Kinondoni, Dar es Salaam, Tanzania",M&E,2.6,MC473DKX
"Kimara, Kinondoni, Dar es Salaam, Tanzania",M&E,"Kimara, Kinondoni, Dar es Salaam, Tanzania",M&E,0.0,MC473DKX
"Kimara, Kinondoni, Dar es Salaam, Tanzania",M&E,"Kimara, Kinondoni, Dar es Salaam, Tanzania",,2.4,MC473DKX
"Kimara, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,14.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Nyerere Road, Temeke, Dar es Salaam, Tanzania",,13.8,MC473DKX
"Nyerere Road, Temeke, Dar es Salaam, Tanzania",,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",PSR Mill - A,10.1,MC473DKX
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",PSR Mill - A,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,21.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,9.3,MC473DKX
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,8.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",BM,25.0,MC473DKX
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",BM,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,21.2,MC473DKX
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,17.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kimara, Kinondoni, Dar es Salaam, Tanzania",,35.8,MC473DKX
"Kimara, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,16.6,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,17.7,MC473DKX
"Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,17.3,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,7.3,MC473DKX
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,12.4,MC473DKX
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,6.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,20.0,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,3.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Swahili Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,10.4,MC473DKX
"Swahili Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,"Swahili Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Swahili Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,0.3,MC473DKX
"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.4,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Tabata, Ilala, Dar es Salaam, Tanzania",Tamiwai Investm,11.3,MC473DKX
"Tabata, Ilala, Dar es Salaam, Tanzania",Tamiwai Investment co.,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,11.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,24.1,MC473DKX
"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",Watson,6.2,MC473DKX
"Kinyerezi, Ilala, Dar es Salaam, Tanzania",Watson,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,52.9,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Segerea, Ilala, Dar es Salaam, Tanzania",Halelwa,14.8,MC473DKX
"Segerea, Ilala, Dar es Salaam, Tanzania",Halelwa,"Segerea, Ilala, Dar es Salaam, Tanzania",Halelwa,0.0,MC473DKX
"Segerea, Ilala, Dar es Salaam, Tanzania",Halelwa,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,5.7,MC473DKX
"Kinyerezi, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,15.7,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,30.7,MC473DKX
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,0.0,MC473DKX
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,0.1,MC473DKX
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Keko, Temeke, Dar es Salaam, Tanzania",,11.4,MC473DKX
"Keko, Temeke, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,16.9,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,3.2,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,3.2,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Ukonga, Ilala, Dar es Salaam, Tanzania",NELLY Milling,23.7,MC473DKX
"Ukonga, Ilala, Dar es Salaam, Tanzania",NELLY Milling,"Kawe, Kinondoni, Dar es Salaam, Tanzania",,20.9,MC473DKX
"Kawe, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,3.5,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",H.R.M MILLING,18.8,MC473DKX
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",H.R.M MILLING,"Ugweno Street, Tandika, Temeke, Dar es Salaam, Tanzania",Umoja Maize Flou,3.0,MC473DKX
"Ugweno Street, Tandika, Temeke, Dar es Salaam, Tanzania",Umoja Maize Flour Mills,"Azimio, Temeke, Dar es Salaam, Tanzania",Naima Mills,1.7,MC473DKX
"Azimio, Temeke, Dar es Salaam, Tanzania",Naima Mills,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Asante,22.4,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Asante,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,5.1,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,3.2,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,14.2,MC473DKX
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,17.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,17.1,MC473DKX
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,17.0,MC473DKX
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,5.1,MC473DKX
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,11.6,MC473DKX
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,6.2,MC473DKX
