,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
226,226,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-10-06 09:03:44,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,3.3,"Morogoro Road, Mzimuni, Kinondoni, Dar es Salaam, Tanzania"
227,227,Mikocheni,2024-01-04 13:28:06,Mikocheni,T250EBJ,Out of Route,Out of Route,5.6,Ndugumbi
228,228,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-06 22:10:39,Mikocheni,DFP8546,Out of Route,Out of Route,1.5,"Rashidi Kawawa Street, Ndugumbi, Kinondoni, Dar es Salaam, Tanzania"
229,229,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-24 20:08:24,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Angelisa Milling,Out of Route,17.5,Kondoa Street
230,230,Mwembesongo,2023-10-18 16:55:31,"B127, Mvomero, Morogoro, Tanzania",T853DZQ,Out of Route,Sanku : Mwanza,2.6,"Rashidi Kawawa Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania"
231,231,Mikocheni,2023-12-04 15:46:30,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania"
232,232,"Kimara, Kinondoni, Dar es Salaam, Tanzania",2023-11-23 16:02:51,"Kimara, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Guzuye investment,10.2,"Rashidi Kawawa Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania"
233,233,Makaburi,2023-11-08 15:29:38,Makaburi,T257DXJ,Out of Route,Out of Route,14.0,"Rashidi Kawawa Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania"
234,234,"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",2024-01-02 13:17:19,"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Mahanze,5.3,"Rashidi Kawawa Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania"
235,235,Mikocheni,2023-12-08 10:42:50,"Bagamoyo Road, Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,0.8,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
236,236,Mikocheni,2024-01-22 14:10:41,Mikocheni,T250EBJ,Out of Route,Out of Route,8.7,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
237,237,Manzese,2024-01-04 14:40:22,Mikocheni,T250EBJ,Kababaye Sons,Out of Route,4.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
