,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
344,344,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 12:30:36,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Naima Mills,PSR Mill - J,19.2,Chole Road
345,345,Mikocheni,2024-01-25 18:06:22,Mikocheni,T250EBJ,Sanku : Dodoma,Out of Route,9.2,Chole Road
346,346,"Tumbi, Kibaha, Pwani, Tanzania",2023-11-24 22:57:53,Makangarawe,T258DXJ,Out of Route,Sanku : Mikocheni,22.4,Slipway Road
347,347,Mikocheni,2023-12-01 10:36:28,Mikocheni,T240EBJ,Out of Route,Out of Route,0.0,Slipway Road
348,348,Chole Road,2023-10-17 13:17:16,Mikocheni,DFP8546,Out of Route,Out of Route,0.0,Kimweri
349,349,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-16 20:00:41,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,Out of Route,0.9,Msasani
350,350,Mikocheni,2024-01-16 17:45:28,Mikocheni,T261DXJ,Lina,Out of Route,37.4,Msasani
351,351,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-09 11:59:36,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.1,Kimweri
352,352,Mikocheni,2023-11-29 13:22:19,"Kongo Street, Gerezani, Ilala, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0,Kimweri
353,353,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 14:32:27,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,Kimweri
354,354,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-11-30 15:41:30,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0,Kimweri
355,355,Kingolwira,2023-10-31 09:19:36,Mwembesongo,T862DQM,Out of Route,Out of Route,11.3,Msasani
356,356,Mikocheni,2023-11-01 11:56:34,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,2.6,Msasani
357,357,Mikocheni,2023-10-27 12:16:04,Mikocheni,DFP8546,Out of Route,Out of Route,4.9,Msasani
358,358,Kunduchi,2023-12-15 20:35:53,"Goba, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,13.7,Msasani
359,359,Mwembesongo,2024-01-12 12:16:57,Mwembesongo,T934DMX,Out of Route,Out of Route,0.7,Msasani
360,360,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-04 11:02:01,Makaburi,T250EBJ,TAUSI MILL,Out of Route,0.7,Msasani
361,361,Mikocheni,2023-11-26 16:24:12,Mikocheni,T261DXJ,Out of Route,Out of Route,21.2,Msasani
362,362,Mikocheni,2023-10-18 14:44:15,Mikocheni,T250EBJ,NGOSHAH FOOD COMPANY,Out of Route,4.0,Msasani
363,363,"A7, Kingolwira",2023-12-31 16:29:37,"A7, Kingolwira",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3,Msasani
364,364,Mikocheni,2024-01-06 13:59:58,"Tandale, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,0.0,Msasani
365,365,"Azimio, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:01:36,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5,Msasani
366,366,Kichangani,2023-10-29 21:30:21,Kingolwira,T862DQM,Out of Route,Out of Route,0.0,Msasani
367,367,Mikocheni,2023-12-04 13:25:29,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.2,Msasani
368,368,Msasani,2024-01-15 19:53:54,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,Msasani
369,369,Mwembesongo,2023-10-05 15:07:12,Mwembesongo,T453EAJ,Out of Route,Out of Route,0.7,Old Bagamoyo
370,370,Makaburi,2023-11-07 15:16:15,Makaburi,T257DXJ,Out of Route,Sanku : Mikocheni,46.7,Old Bagamoyo
371,371,Kingolwira,2024-01-22 07:12:03,Mwembesongo,T934DMX,Out of Route,Out of Route,0.0,Old Bagamoyo
372,372,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-13 19:57:31,Mikocheni,T191DWL,Out of Route,Out of Route,0.0,Old Bagamoyo
373,373,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 20:40:22,Mikocheni,T258DXJ,Out of Route,Sanku : Mikocheni,0.0,Old Bagamoyo
374,374,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2024-01-18 16:47:18,Chole Road,T452EBA,Out of Route,Out of Route,1.7,Old Bagamoyo
375,375,Old Bagamoyo Road,2023-12-15 10:18:01,Mikocheni,T196DQG,Out of Route,Out of Route,0.0,Old Bagamoyo
376,376,Mikocheni,2023-10-10 13:56:52,Makaburi,T261DXJ,Out of Route,Out of Route,10.0,Old Bagamoyo
377,377,Kingolwira,2023-11-20 19:40:34,Kingolwira,T863DQM,Out of Route,Out of Route,0.0,Mikocheni
378,378,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",2023-11-06 14:45:48,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,1.2,Mikocheni
379,379,"Chanika, Ilala, Dar es Salaam, Tanzania",2023-12-29 16:16:30,"Msongola, Ilala, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Out of Route,0.5,Mikocheni
380,380,Mikocheni,2023-10-06 10:19:07,Mikocheni,T240EBJ,Out of Route,Kivumbe Mills,1.9,Mikocheni
381,381,"Kingo, Morogoro Urban, Morogoro, Tanzania",2024-01-12 14:48:47,Kichangani,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
382,382,"Sabasaba, Morogoro Urban, Morogoro, Tanzania",2024-01-26 12:33:18,Mwembesongo,T852DZQ,Sanku : Morogoro,Out of Route,0.0,Mikocheni
383,383,"Msongola, Ilala, Dar es Salaam, Tanzania",2023-10-11 15:36:50,"Msongola, Ilala, Dar es Salaam, Tanzania",T250EBJ,Out of Route,MTENDENI MASHINE,3.7,Mikocheni
384,384,Mikocheni,2024-01-26 19:59:20,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,7.4,Mikocheni
385,385,Mikocheni,2023-12-11 14:08:16,Mikocheni,T196DQG,Out of Route,Out of Route,9.4,Mikocheni
386,386,Mwembesongo,2023-11-10 14:28:30,Mwembesongo,T453EAJ,Out of Route,Out of Route,7.0,Mikocheni
387,387,Mwembesongo,2024-01-29 17:28:30,Mwembesongo,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
388,388,Mji mpya,2023-10-30 17:47:20,"Boma, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,3.1,Mikocheni
389,389,Mwembesongo,2023-11-22 14:10:44,Mwembesongo,T457EBA,Out of Route,Sanku : Mwanza,2.5,Mikocheni
390,390,Mwembesongo,2023-11-03 08:28:15,Mwembesongo,T453EAJ,Takadiri,Sanku : Dodoma,2.8,Mikocheni
391,391,Mikocheni,2024-01-27 14:29:34,Mikocheni,T980DMT,Out of Route,Out of Route,0.0,Mikocheni
392,392,Makaburi,2023-12-06 11:39:22,Makaburi,T452EBA,Out of Route,Sanku : Dodoma,0.5,Mikocheni
393,393,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-15 18:47:25,Mikocheni,T257DXJ,Sanku : Mikocheni,Sanku : Mikocheni,0.0,Mikocheni
394,394,"B127, Magole, Kilosa, Morogoro, Tanzania",2023-12-20 20:34:31,"B129, Dumila, Kilosa, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0,Mikocheni
395,395,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-09 14:33:18,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,8.0,Mikocheni
396,396,"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",2023-12-04 14:45:55,Mikocheni,T240EBJ,Out of Route,Out of Route,15.5,Mikocheni
397,397,Mikocheni,2023-10-27 16:19:52,Manzese,T250EBJ,Out of Route,MASAGAJA MILL,2.1,Mikocheni
398,398,Mikocheni,2023-12-02 13:50:12,Mikocheni,T196DQG,Out of Route,Out of Route,0.0,Mikocheni
399,399,Mji mpya,2024-01-25 04:12:47,Mwembesongo,T141DKS,Out of Route,Out of Route,0.0,Mikocheni
400,400,Kichangani,2023-12-12 20:55:19,Kingolwira,T863DQM,Out of Route,Out of Route,0.0,Mikocheni
401,401,Mikocheni,2023-12-27 14:14:04,Mikocheni,T258DXJ,Africa One Mill -B,Out of Route,1.3,Mikocheni
402,402,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-09 13:07:44,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Sanku : Dodoma,4.3,Mikocheni
403,403,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2024-01-11 14:54:47,"Kimara, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Isanga,Out of Route,4.1,Mikocheni
404,404,Makaburi,2024-01-17 19:29:02,Makaburi,MC473DKX,Sanku : Mikocheni,Isanga,5.1,Mikocheni
405,405,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-12-01 15:10:29,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Mujalya Mini Miller,Mama Happy,0.6,Mikocheni
406,406,"Kilakala, Morogoro Urban, Morogoro, Tanzania",2024-01-17 10:40:33,"Kilakala, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0,Mikocheni
407,407,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-11 14:39:38,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T141DKS,PSR Mill - A,Out of Route,23.5,Mikocheni
408,408,Mikocheni,2023-10-17 11:45:55,"Sandali, Temeke, Dar es Salaam, Tanzania",T191DWL,Out of Route,Out of Route,18.0,Mikocheni
409,409,Mikocheni,2023-10-25 09:41:11,Chole Road,DFP8546,Out of Route,Sanku : Mikocheni,5.2,Mikocheni
410,410,Mikocheni,2023-12-28 16:52:53,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Out of Route,Out of Route,0.0,Bagamoyo Road
411,411,"A7, Kingolwira",2023-11-23 13:16:10,"A7, Kingolwira",T863DQM,Out of Route,Out of Route,1.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
412,412,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",2024-01-05 14:14:48,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",MC473DKX,Out of Route,Out of Route,0.0,Bagamoyo Road
413,413,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",2023-11-24 01:05:17,Makaburi,MC315DKY,Out of Route,Sanku : Mikocheni,1.9,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
414,414,"Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-27 11:49:44,"Kilakala, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Sanku : Dodoma,6.6,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
415,415,Kingolwira,2023-12-21 18:17:06,Kingolwira,T850DZQ,Out of Route,Out of Route,6.7,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
416,416,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-11-13 16:44:33,Mikocheni,T257DXJ,Out of Route,Out of Route,0.3,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
417,417,Makaburi,2023-11-10 11:07:30,Makaburi,DFP8546,Out of Route,Sanku : Mikocheni,6.0,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
418,418,Mwembesongo,2024-01-15 09:50:54,Mwembesongo,T852DZQ,Out of Route,Out of Route,2.1,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
419,419,Makaburi,2023-11-21 08:07:30,"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,2.8,"Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
420,420,Chole Road,2024-01-15 17:12:06,Msasani,T980DMT,Out of Route,Out of Route,0.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
421,421,Makaburi,2023-12-06 18:13:22,Makaburi,T452EBA,Out of Route,Out of Route,5.7,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
422,422,"Station, Kingo, Morogoro Urban, Morogoro, Tanzania",2023-11-27 20:21:31,Kingolwira,T863DQM,Out of Route,Out of Route,0.0,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
423,423,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-12-14 18:54:08,Mikocheni,T248EBJ,Out of Route,Out of Route,0.0,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
424,424,"Mvomero, Morogoro, Tanzania",2023-10-04 13:17:57,"Mvomero, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,1.6,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
425,425,Kichangani,2023-12-07 18:08:36,"A7, Kingolwira",T863DQM,Out of Route,Out of Route,0.5,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
426,426,Msasani,2023-12-11 13:27:22,Chole Road,T980DMT,Out of Route,Out of Route,7.4,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
427,427,"Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania",2024-01-09 12:05:17,"Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,1.6,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
428,428,"A7, Kingolwira",2023-12-31 20:03:12,Kichangani,T934DMX,Out of Route,Out of Route,2.0,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
429,429,Kingolwira,2023-10-28 08:53:36,Kingolwira,T862DQM,Out of Route,Out of Route,0.5,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
430,430,Mikocheni,2023-12-06 15:39:52,"Tambani, Mkuranga, Pwani, Tanzania",T240EBJ,Sanku : Morogoro,Out of Route,2.4,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
431,431,Mwembesongo,2024-01-08 14:48:17,"Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.4,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
432,432,Mwembesongo,2024-01-25 17:40:26,Mji mpya,T852DZQ,Sanku : Morogoro,Out of Route,2.8,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
433,433,Kunduchi,2024-01-07 17:16:54,"Ilala, Dar es Salaam, Tanzania",MC473DKX,Out of Route,S Mkilindi,29.1,"Ubungo, Kinondoni, Dar es Salaam, Tanzania"
434,434,Mji mpya,2023-11-22 17:03:52,Mwembesongo,T457EBA,Out of Route,Out of Route,3.7,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
435,435,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-31 19:02:28,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
436,436,"Kitunda, Ilala, Dar es Salaam, Tanzania",2024-01-06 14:36:29,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,6.8,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
437,437,"B129, Kihonda",2023-11-29 17:40:25,Mji mpya,T863DQM,Out of Route,Out of Route,9.7,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
438,438,Mikocheni,2024-01-13 15:52:12,Mikocheni,T261DXJ,Out of Route,Out of Route,0.0,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
439,439,Makangarawe,2024-01-05 23:09:19,Makangarawe,T261DXJ,Out of Route,Out of Route,17.6,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
440,440,"A7, Kingolwira",2023-11-14 14:34:34,Kingolwira,T863DQM,Out of Route,Out of Route,5.2,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
441,441,Chole Road,2023-12-14 09:52:49,Chole Road,T452EBA,Out of Route,Out of Route,1.4,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
442,442,Mwembesongo,2023-11-23 18:18:13,"A7, Kingolwira",T863DQM,Akiaki Ltd,Out of Route,9.0,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
443,443,Mikocheni,2024-01-09 18:49:24,Mikocheni,T261DXJ,Out of Route,Mama Mcharo Milling - B,6.3,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
444,444,Makaburi,2023-10-14 06:48:02,"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,12.2,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
445,445,Mikocheni,2023-12-09 15:13:46,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Isanga,Out of Route,0.7,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
446,446,"Segerea, Ilala, Dar es Salaam, Tanzania",2023-11-28 18:46:51,"Kinyerezi, Ilala, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,0.0,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
447,447,"A7, Kingolwira",2023-11-07 15:01:30,Mwembesongo,T453EAJ,Out of Route,Out of Route,6.0,"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
448,448,Makaburi,2024-01-21 12:46:22,Kunduchi,MC473DKX,Out of Route,Out of Route,0.1,"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
449,449,Makaburi,2023-11-21 18:00:53,Makaburi,DFP8546,Goldenpot Millers,Out of Route,5.2,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
450,450,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",2023-11-02 10:26:41,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,2.8,"Sam Nujoma Road, Sinza, Kinondoni, Dar es Salaam, Tanzania"
451,451,Kingolwira,2023-12-16 10:20:34,Kingolwira,T850DZQ,Sanku : Mikocheni,Out of Route,29.0,"Sinza, Kinondoni, Dar es Salaam, Tanzania"
452,452,Makaburi,2023-10-27 21:12:50,Makaburi,DFP8546,Out of Route,Out of Route,8.7,"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
453,453,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-12-16 10:52:46,"Bagamoyo Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,6.8,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
454,454,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-12-20 22:03:25,"Kitunda, Ilala, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
455,455,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-12-01 13:05:19,Mikocheni,T261DXJ,Out of Route,Out of Route,18.7,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
456,456,"B127, Diongoya, Mvomero, Morogoro, Tanzania",2023-12-20 14:21:41,"B127, Diongoya, Mvomero, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
457,457,Mwembesongo,2023-11-15 12:24:57,Mwembesongo,T453EAJ,Out of Route,Out of Route,4.4,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
458,458,Kingolwira,2024-01-10 18:21:44,Kingolwira,T852DZQ,Sanku : Morogoro,Out of Route,3.2,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
459,459,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-07 15:09:57,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,2.7,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
460,460,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2024-01-09 19:31:49,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,0.0,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
461,461,Mwembesongo,2023-12-14 09:22:31,Mwembesongo,T850DZQ,Out of Route,Out of Route,6.2,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
462,462,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-12-04 12:35:11,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,1.6,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
463,463,"Kimara, Kinondoni, Dar es Salaam, Tanzania",2024-01-11 15:13:20,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Out of Route,Sanku : Mikocheni,3.2,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
464,464,"Kaole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2024-01-02 15:15:51,Msasani,T980DMT,Katemi Food,Katemi Food,0.0,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
465,465,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-11-30 10:39:53,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.7,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
466,466,Mwembesongo,2023-10-13 12:57:38,Mji mpya,T853DZQ,Out of Route,Out of Route,0.0,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania"
467,467,Kingolwira,2023-10-08 07:59:59,"A7, Kingolwira",T853DZQ,Chars Posho,Sanku : Mwanza,14.7,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
468,468,"Pugu Road, Kipawa, Ilala, Dar es Salaam, Tanzania",2023-10-06 21:17:11,Mikocheni,T141DKS,Out of Route,Out of Route,9.8,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
469,469,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-09 14:33:09,Mji mpya,T453EAJ,Out of Route,Out of Route,7.6,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
470,470,"Hazina, Dodoma Urban, Dodoma, Tanzania",2023-10-03 17:45:35,"Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,Out of Route,Out of Route,0.0,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
471,471,Mikocheni,2024-01-30 15:16:26,"Mwindu Lane, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Mashine ya Maji,10.5,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
472,472,Kichangani,2023-10-05 12:03:04,Kichangani,T934DMX,Out of Route,Out of Route,11.8,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
473,473,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-25 07:32:11,Chole Road,T934DMX,Out of Route,Out of Route,5.6,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
474,474,Mwembesongo,2023-12-15 18:26:48,Mwembesongo,T863DQM,Out of Route,Out of Route,0.8,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
475,475,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-12-14 20:13:52,Mikocheni,MC315DKY,Mshauri Milling,Out of Route,0.2,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
476,476,Mwembesongo,2023-12-08 11:46:22,Mwembesongo,T850DZQ,Sanku : Mikocheni,Out of Route,3.7,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
477,477,Mikocheni,2023-11-30 19:39:29,Mikocheni,T196DQG,Out of Route,Sanku : Morogoro,2.6,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
478,478,Mikocheni,2023-11-27 13:12:31,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Sanku : Morogoro,3.4,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
479,479,Mikocheni,2023-12-05 07:46:56,"Magore Street, Upanga Mashariki, Ilala, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,MPWAPWA GROUP,7.8,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
480,480,Mwembesongo,2023-11-08 08:48:38,Mwembesongo,T453EAJ,Out of Route,Out of Route,5.6,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
481,481,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-11-27 21:35:39,Makaburi,T261DXJ,Out of Route,PSR Mill - A,13.2,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
482,482,Kichangani,2023-11-27 12:38:56,Kichangani,T863DQM,Out of Route,Out of Route,5.6,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
483,483,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-16 12:33:23,Mikocheni,MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
484,484,Mikocheni,2023-12-12 15:03:46,Mikocheni,MC315DKY,Out of Route,Out of Route,2.0,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
485,485,Uwanja wa ndege,2023-12-13 09:52:31,Mwembesongo,T863DQM,Out of Route,Out of Route,3.8,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
486,486,"Kilakala, Morogoro Urban, Morogoro, Tanzania",2023-10-27 11:56:55,"Kilakala, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Out of Route,3.8,"Kimara, Kinondoni, Dar es Salaam, Tanzania"
487,487,Manzese,2023-10-19 15:27:05,Mikocheni,T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
488,488,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-07 13:15:55,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,3.0,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
489,489,"Sabasaba, Morogoro Urban, Morogoro, Tanzania",2024-01-16 17:37:07,Mwembesongo,T852DZQ,Sanku : Morogoro,Out of Route,3.5,"Morogoro Road, Kimara, Kinondoni, Dar es Salaam, Tanzania"
