,Unnamed: 0,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
301,301,2023-12-03 17:15:44,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-03 18:37:19,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,9.5
312,312,2023-11-23 23:42:18,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-24 00:22:39,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,45.0
318,318,2023-11-16 19:14:25,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-16 19:15:49,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,MGO Milling,Kilua Milling,2.7
322,322,2023-12-26 19:00:11,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-12-26 19:29:23,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
344,344,2024-01-12 12:25:48,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 12:30:36,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Naima Mills,PSR Mill - J,19.2
363,363,2023-12-31 16:27:16,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-12-31 16:29:37,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3
365,365,2023-12-01 14:52:38,"Azimio, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:01:36,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5
390,390,2023-11-03 08:28:05,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-03 08:28:15,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Takadiri,Sanku : Dodoma,2.8
393,393,2023-11-15 17:45:44,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-15 18:47:25,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
404,404,2024-01-17 19:22:43,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2024-01-17 19:29:02,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
405,405,2023-12-01 15:10:18,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-12-01 15:10:29,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Mujalya Mini Miller,Mama Happy,0.6
464,464,2024-01-02 15:05:49,"Kaole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2024-01-02 15:15:51,"Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Katemi Food,Katemi Food,0.0
467,467,2023-10-08 07:55:03,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-10-08 07:59:59,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Chars Posho,Sanku : Mwanza,14.7
479,479,2023-12-05 07:14:20,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-05 07:46:56,"Magore Street, Upanga Mashariki, Ilala, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,MPWAPWA GROUP,7.8
483,483,2024-01-16 12:15:49,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-16 12:33:23,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0
487,487,2023-10-19 15:13:37,"Manzese, Kinondoni, Dar es Salaam, Tanzania",2023-10-19 15:27:05,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
490,490,2023-10-25 15:19:49,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-10-25 15:26:02,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
494,494,2024-01-03 16:35:47,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 16:36:12,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Africa One Mill -B,43.9
